2025-05-23_09-56-53 loss=0.000161, validation loss=0.001443, train_mae=0.005178, val_mae=0.006389, params={'n_layers': 3, 'n_units': 466, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.00040942058721774087, 'batchsize': 1411}
2025-05-23_09-57-24 loss=0.000182, validation loss=0.001527, train_mae=0.006869, val_mae=0.008058, params={'n_layers': 5, 'n_units': 276, 'activation': 'tanh', 'optimizer': 'RAdam', 'lr': 0.00011617838594174828, 'batchsize': 1525}
2025-05-23_11-19-15 loss=0.000130, validation loss=0.001214, train_mae=0.005811, val_mae=0.006893, params={'n_layers': 4, 'n_units': 65, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.006056217805275974, 'batchsize': 1228}
2025-05-23_11-28-55 loss=0.000057, validation loss=0.002059, train_mae=0.004451, val_mae=0.006659, params={'n_layers': 8, 'n_units': 707, 'activation': 'elu', 'optimizer': 'adam', 'lr': 0.0005400074062098505, 'batchsize': 1965}
2025-05-23_12-06-00 loss=0.000118, validation loss=0.001292, train_mae=0.005726, val_mae=0.006804, params={'n_layers': 14, 'n_units': 447, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.0002875553419168364, 'batchsize': 812}
2025-05-23_12-10-52 loss=0.000064, validation loss=0.001667, train_mae=0.004529, val_mae=0.005792, params={'n_layers': 3, 'n_units': 58, 'activation': 'gelu', 'optimizer': 'RAdam', 'lr': 0.009753403085403786, 'batchsize': 901}
2025-05-23_12-49-07 loss=0.000182, validation loss=0.001450, train_mae=0.006356, val_mae=0.007611, params={'n_layers': 6, 'n_units': 991, 'activation': 'elu', 'optimizer': 'adam', 'lr': 4.0672604933004506e-05, 'batchsize': 1124}
2025-05-23_12-56-55 loss=0.000198, validation loss=0.001626, train_mae=0.007662, val_mae=0.009142, params={'n_layers': 5, 'n_units': 104, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.006857242872575893, 'batchsize': 520}
2025-05-23_13-12-46 loss=0.005124, validation loss=0.006615, train_mae=0.025567, val_mae=0.026866, params={'n_layers': 2, 'n_units': 57, 'activation': 'swish', 'optimizer': 'AdamW', 'lr': 0.0017238452866962745, 'batchsize': 1230}
2025-05-23_14-04-21 loss=1.000015, validation loss=0.998160, train_mae=0.756396, val_mae=0.754699, params={'n_layers': 15, 'n_units': 1022, 'activation': 'sigmoid', 'optimizer': 'adam', 'lr': 1.2289707983983798e-05, 'batchsize': 1357}
2025-05-23_15-17-11 loss=0.047051, validation loss=0.048371, train_mae=0.121002, val_mae=0.121141, params={'n_layers': 3, 'n_units': 191, 'activation': 'tanh', 'optimizer': 'sgd', 'lr': 0.00412807154646542, 'batchsize': 1693}
2025-05-23_15-46-39 loss=0.002797, validation loss=0.004464, train_mae=0.019310, val_mae=0.021923, params={'n_layers': 1, 'n_units': 741, 'activation': 'leaky_relu', 'optimizer': 'RAdam', 'lr': 0.00014711940634687837, 'batchsize': 1348}
2025-05-23_16-15-16 loss=0.003919, validation loss=0.004947, train_mae=0.029504, val_mae=0.030752, params={'n_layers': 1, 'n_units': 107, 'activation': 'selu', 'optimizer': 'RAdam', 'lr': 0.005794946389882288, 'batchsize': 1407}
2025-05-23_16-51-07 loss=0.000145, validation loss=0.006024, train_mae=0.008479, val_mae=0.017378, params={'n_layers': 7, 'n_units': 1013, 'activation': 'leaky_relu', 'optimizer': 'adam', 'lr': 1.0358454781077285e-05, 'batchsize': 1287}
2025-05-23_16-58-38 loss=0.000139, validation loss=0.002644, train_mae=0.006716, val_mae=0.010162, params={'n_layers': 4, 'n_units': 302, 'activation': 'leaky_relu', 'optimizer': 'adam', 'lr': 0.0029038492655582807, 'batchsize': 1255}
2025-05-23_18-19-07 loss=0.000109, validation loss=0.001244, train_mae=0.004315, val_mae=0.005386, params={'n_layers': 14, 'n_units': 469, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.00038047127227415234, 'batchsize': 856}
2025-05-23_20-02-17 loss=0.000207, validation loss=0.001428, train_mae=0.005473, val_mae=0.006559, params={'n_layers': 11, 'n_units': 336, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 0.00011361739636159579, 'batchsize': 1226}
2025-05-23_20-32-42 loss=0.000863, validation loss=0.002459, train_mae=0.015891, val_mae=0.016969, params={'n_layers': 6, 'n_units': 238, 'activation': 'sigmoid', 'optimizer': 'RAdam', 'lr': 0.0002456157803289157, 'batchsize': 1133}
2025-05-23_20-45-44 loss=0.000141, validation loss=0.001630, train_mae=0.006417, val_mae=0.007837, params={'n_layers': 15, 'n_units': 501, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.0006245839732792873, 'batchsize': 1064}
2025-05-23_21-24-34 loss=0.001189, validation loss=0.002998, train_mae=0.017153, val_mae=0.018444, params={'n_layers': 2, 'n_units': 56, 'activation': 'elu', 'optimizer': 'rmsprop', 'lr': 0.0012994386605344897, 'batchsize': 1664}
2025-05-23_22-05-25 loss=0.000602, validation loss=0.004161, train_mae=0.015291, val_mae=0.018462, params={'n_layers': 5, 'n_units': 162, 'activation': 'relu', 'optimizer': 'AdamW', 'lr': 0.007912017029258471, 'batchsize': 789}
2025-05-23_22-42-17 loss=0.000074, validation loss=0.001523, train_mae=0.004093, val_mae=0.005478, params={'n_layers': 3, 'n_units': 857, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 8.87618519697642e-05, 'batchsize': 775}
2025-05-23_22-54-13 loss=0.000063, validation loss=0.001542, train_mae=0.004164, val_mae=0.005539, params={'n_layers': 4, 'n_units': 83, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.005349395680217385, 'batchsize': 1177}
2025-05-23_23-34-29 loss=0.000260, validation loss=0.001148, train_mae=0.007194, val_mae=0.008068, params={'n_layers': 4, 'n_units': 46, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.004540355556230772, 'batchsize': 1007}
2025-05-24_00-13-37 loss=0.000448, validation loss=0.001486, train_mae=0.008563, val_mae=0.009468, params={'n_layers': 3, 'n_units': 46, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.0039705716391393005, 'batchsize': 1004}
2025-05-24_00-31-24 loss=1.000003, validation loss=0.998197, train_mae=0.756721, val_mae=0.755054, params={'n_layers': 15, 'n_units': 670, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.006389645128349566, 'batchsize': 933}
2025-05-24_00-41-15 loss=0.000693, validation loss=0.001499, train_mae=0.013660, val_mae=0.014263, params={'n_layers': 5, 'n_units': 21, 'activation': 'gelu', 'optimizer': 'RAdam', 'lr': 0.007416563287178228, 'batchsize': 2030}
2025-05-24_01-15-39 loss=0.000305, validation loss=0.001519, train_mae=0.007729, val_mae=0.008823, params={'n_layers': 3, 'n_units': 111, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.002454580658584609, 'batchsize': 1320}
2025-05-24_02-18-35 loss=0.000115, validation loss=0.002754, train_mae=0.006550, val_mae=0.009788, params={'n_layers': 12, 'n_units': 394, 'activation': 'tanh', 'optimizer': 'RAdam', 'lr': 0.0006277680391997723, 'batchsize': 1293}
2025-05-24_02-40-09 loss=0.000218, validation loss=0.001270, train_mae=0.007171, val_mae=0.008246, params={'n_layers': 4, 'n_units': 57, 'activation': 'swish', 'optimizer': 'rmsprop', 'lr': 0.0046511611422747155, 'batchsize': 603}
2025-05-24_02-44-12 loss=0.000352, validation loss=0.001252, train_mae=0.006823, val_mae=0.007593, params={'n_layers': 8, 'n_units': 856, 'activation': 'swish', 'optimizer': 'adam', 'lr': 3.649645900051635e-05, 'batchsize': 1343}
2025-05-24_06-14-37 loss=0.000103, validation loss=0.002058, train_mae=0.005109, val_mae=0.007061, params={'n_layers': 4, 'n_units': 408, 'activation': 'swish', 'optimizer': 'rmsprop', 'lr': 0.00472094467337161, 'batchsize': 256}
2025-05-24_06-43-34 loss=0.000576, validation loss=0.003771, train_mae=0.016043, val_mae=0.019265, params={'n_layers': 3, 'n_units': 66, 'activation': 'relu', 'optimizer': 'rmsprop', 'lr': 0.0062788519612647165, 'batchsize': 594}
2025-05-24_07-01-46 loss=0.000297, validation loss=0.001177, train_mae=0.006514, val_mae=0.007285, params={'n_layers': 8, 'n_units': 788, 'activation': 'swish', 'optimizer': 'adam', 'lr': 3.959831380127013e-05, 'batchsize': 1396}
2025-05-24_07-33-39 loss=0.002124, validation loss=0.002964, train_mae=0.029294, val_mae=0.029783, params={'n_layers': 4, 'n_units': 16, 'activation': 'tanh', 'optimizer': 'rmsprop', 'lr': 0.003176254808714123, 'batchsize': 819}
2025-05-24_08-22-51 loss=0.000316, validation loss=0.001716, train_mae=0.009676, val_mae=0.011004, params={'n_layers': 6, 'n_units': 45, 'activation': 'swish', 'optimizer': 'rmsprop', 'lr': 0.008169506900775513, 'batchsize': 387}
2025-05-24_10-58-34 loss=0.000041, validation loss=0.008982, train_mae=0.004058, val_mae=0.021535, params={'n_layers': 14, 'n_units': 746, 'activation': 'relu', 'optimizer': 'adam', 'lr': 0.00014437603039842796, 'batchsize': 836}
2025-05-24_12-22-55 loss=0.000248, validation loss=0.000942, train_mae=0.006252, val_mae=0.007011, params={'n_layers': 12, 'n_units': 840, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 1.017121902000165e-05, 'batchsize': 1047}
2025-05-24_12-56-18 loss=0.044707, validation loss=0.047566, train_mae=0.125812, val_mae=0.127172, params={'n_layers': 5, 'n_units': 134, 'activation': 'swish', 'optimizer': 'sgd', 'lr': 0.0020247516120500877, 'batchsize': 1082}
2025-05-24_13-44-29 loss=0.000112, validation loss=0.001347, train_mae=0.005079, val_mae=0.006306, params={'n_layers': 4, 'n_units': 95, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.009785490348916456, 'batchsize': 918}
2025-05-24_14-55-58 loss=0.000422, validation loss=0.001280, train_mae=0.009178, val_mae=0.009931, params={'n_layers': 7, 'n_units': 39, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.005865071742959999, 'batchsize': 1479}
2025-05-24_15-06-11 loss=0.000349, validation loss=0.003624, train_mae=0.011678, val_mae=0.016732, params={'n_layers': 12, 'n_units': 670, 'activation': 'selu', 'optimizer': 'rmsprop', 'lr': 0.0001668422973762056, 'batchsize': 752}
2025-05-24_15-46-18 loss=0.000432, validation loss=0.001730, train_mae=0.009134, val_mae=0.010410, params={'n_layers': 8, 'n_units': 904, 'activation': 'elu', 'optimizer': 'RAdam', 'lr': 2.328628387012851e-05, 'batchsize': 2043}
2025-05-24_15-46-40 loss=0.000184, validation loss=0.001388, train_mae=0.009370, val_mae=0.010924, params={'n_layers': 7, 'n_units': 39, 'activation': 'selu', 'optimizer': 'RAdam', 'lr': 0.004644952813026036, 'batchsize': 1494}
2025-05-24_16-20-48 loss=0.007586, validation loss=0.009304, train_mae=0.030083, val_mae=0.031726, params={'n_layers': 1, 'n_units': 353, 'activation': 'sigmoid', 'optimizer': 'RAdam', 'lr': 0.0004736130275889263, 'batchsize': 1211}
2025-05-24_16-26-49 loss=0.000068, validation loss=0.001675, train_mae=0.004611, val_mae=0.006176, params={'n_layers': 8, 'n_units': 68, 'activation': 'swish', 'optimizer': 'RAdam', 'lr': 0.006158424555224393, 'batchsize': 965}
