2025-05-17_01-15-52 loss=0.001682, validation loss=0.004556, train_mae=0.023597, val_mae=0.025539, params={'n_layers': 5, 'n_units': 31, 'activation': 'selu', 'optimizer': 'AdamW', 'lr': 0.009805390619194138, 'batchsize': 1176}
2025-05-17_01-20-10 loss=0.000215, validation loss=0.002051, train_mae=0.008709, val_mae=0.010661, params={'n_layers': 7, 'n_units': 204, 'activation': 'elu', 'optimizer': 'RAdam', 'lr': 0.004972812837016092, 'batchsize': 857}
2025-05-17_01-20-37 loss=0.000182, validation loss=0.001644, train_mae=0.007665, val_mae=0.009138, params={'n_layers': 7, 'n_units': 348, 'activation': 'gelu', 'optimizer': 'RAdam', 'lr': 0.005648644187769589, 'batchsize': 878}
2025-05-17_01-34-20 loss=1.000000, validation loss=1.025535, train_mae=0.755939, val_mae=0.758831, params={'n_layers': 10, 'n_units': 205, 'activation': 'sigmoid', 'optimizer': 'sgd', 'lr': 0.0005039194932053359, 'batchsize': 2039}
2025-05-17_01-37-51 loss=0.000100, validation loss=0.008380, train_mae=0.005875, val_mae=0.018890, params={'n_layers': 10, 'n_units': 397, 'activation': 'relu', 'optimizer': 'RAdam', 'lr': 0.00012999403665178667, 'batchsize': 711}
2025-05-17_02-00-29 loss=0.000158, validation loss=0.004497, train_mae=0.008272, val_mae=0.014078, params={'n_layers': 10, 'n_units': 370, 'activation': 'selu', 'optimizer': 'adam', 'lr': 0.0019636801844835293, 'batchsize': 1354}
2025-05-17_02-03-03 loss=0.999839, validation loss=1.025375, train_mae=0.755851, val_mae=0.758741, params={'n_layers': 8, 'n_units': 101, 'activation': 'swish', 'optimizer': 'sgd', 'lr': 0.00010408015895984857, 'batchsize': 1938}
2025-05-17_02-20-19 loss=0.000158, validation loss=0.001071, train_mae=0.005548, val_mae=0.006516, params={'n_layers': 3, 'n_units': 429, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.00020597358998597056, 'batchsize': 2017}
2025-05-17_02-35-30 loss=0.004389, validation loss=0.005477, train_mae=0.019530, val_mae=0.019949, params={'n_layers': 4, 'n_units': 512, 'activation': 'swish', 'optimizer': 'AdamW', 'lr': 0.00010355447561614771, 'batchsize': 2002}
2025-05-17_02-43-13 loss=0.000130, validation loss=0.006326, train_mae=0.007057, val_mae=0.013658, params={'n_layers': 8, 'n_units': 128, 'activation': 'elu', 'optimizer': 'rmsprop', 'lr': 0.004116771849774209, 'batchsize': 514}
2025-05-17_02-55-18 loss=0.019833, validation loss=0.023114, train_mae=0.065294, val_mae=0.066696, params={'n_layers': 2, 'n_units': 168, 'activation': 'tanh', 'optimizer': 'sgd', 'lr': 0.005809030023126326, 'batchsize': 393}
2025-05-17_03-00-01 loss=0.002746, validation loss=0.003568, train_mae=0.017411, val_mae=0.017964, params={'n_layers': 3, 'n_units': 509, 'activation': 'elu', 'optimizer': 'AdamW', 'lr': 0.006454203949348046, 'batchsize': 1782}
2025-05-17_03-06-03 loss=0.000158, validation loss=0.000985, train_mae=0.005261, val_mae=0.006158, params={'n_layers': 4, 'n_units': 158, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 0.00024174429137703178, 'batchsize': 1794}
2025-05-17_03-10-54 loss=0.001455, validation loss=0.003195, train_mae=0.016518, val_mae=0.017728, params={'n_layers': 7, 'n_units': 75, 'activation': 'elu', 'optimizer': 'AdamW', 'lr': 0.003043891882537358, 'batchsize': 1216}
2025-05-17_03-17-09 loss=0.000389, validation loss=0.001876, train_mae=0.010585, val_mae=0.012102, params={'n_layers': 8, 'n_units': 343, 'activation': 'elu', 'optimizer': 'RAdam', 'lr': 0.0028781053912242368, 'batchsize': 1673}
2025-05-17_03-30-25 loss=0.000953, validation loss=0.003731, train_mae=0.015311, val_mae=0.017581, params={'n_layers': 5, 'n_units': 245, 'activation': 'selu', 'optimizer': 'AdamW', 'lr': 0.0013498691029093287, 'batchsize': 848}
2025-05-17_03-38-26 loss=0.001998, validation loss=0.003363, train_mae=0.017413, val_mae=0.018273, params={'n_layers': 7, 'n_units': 60, 'activation': 'elu', 'optimizer': 'AdamW', 'lr': 0.003191834317237278, 'batchsize': 1202}
2025-05-17_03-38-40 loss=0.000100, validation loss=0.002490, train_mae=0.005874, val_mae=0.008252, params={'n_layers': 7, 'n_units': 335, 'activation': 'elu', 'optimizer': 'RAdam', 'lr': 0.002665625445348298, 'batchsize': 1684}
2025-05-17_03-42-50 loss=0.003959, validation loss=0.005000, train_mae=0.027261, val_mae=0.027983, params={'n_layers': 7, 'n_units': 17, 'activation': 'elu', 'optimizer': 'AdamW', 'lr': 0.006618337857355322, 'batchsize': 1232}
2025-05-17_03-43-05 loss=0.000142, validation loss=0.002507, train_mae=0.006207, val_mae=0.007982, params={'n_layers': 3, 'n_units': 170, 'activation': 'gelu', 'optimizer': 'adam', 'lr': 0.00022874701772414172, 'batchsize': 2010}
2025-05-17_03-53-27 loss=0.001755, validation loss=0.003141, train_mae=0.018544, val_mae=0.019597, params={'n_layers': 9, 'n_units': 90, 'activation': 'elu', 'optimizer': 'AdamW', 'lr': 0.0033465579240193805, 'batchsize': 564}
2025-05-17_04-01-58 loss=0.000269, validation loss=0.001011, train_mae=0.006146, val_mae=0.006819, params={'n_layers': 6, 'n_units': 496, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.00019098708235799577, 'batchsize': 1176}
2025-05-17_04-05-10 loss=0.000209, validation loss=0.002014, train_mae=0.007543, val_mae=0.009430, params={'n_layers': 8, 'n_units': 352, 'activation': 'elu', 'optimizer': 'RAdam', 'lr': 0.0010933906414957713, 'batchsize': 2019}
2025-05-17_04-12-14 loss=0.000258, validation loss=0.000756, train_mae=0.009963, val_mae=0.010570, params={'n_layers': 5, 'n_units': 35, 'activation': 'elu', 'optimizer': 'adam', 'lr': 0.0009690583561206089, 'batchsize': 1690}
2025-05-17_04-31-41 loss=0.000275, validation loss=0.001220, train_mae=0.010009, val_mae=0.011406, params={'n_layers': 6, 'n_units': 386, 'activation': 'sigmoid', 'optimizer': 'adam', 'lr': 0.0014646776821119365, 'batchsize': 1601}
2025-05-17_04-38-54 loss=0.002951, validation loss=0.003151, train_mae=0.022131, val_mae=0.022563, params={'n_layers': 7, 'n_units': 23, 'activation': 'elu', 'optimizer': 'rmsprop', 'lr': 0.001409938142685323, 'batchsize': 1649}
2025-05-17_04-54-01 loss=0.000856, validation loss=0.008936, train_mae=0.020315, val_mae=0.035586, params={'n_layers': 9, 'n_units': 158, 'activation': 'relu', 'optimizer': 'rmsprop', 'lr': 0.006588647116400478, 'batchsize': 285}
2025-05-17_05-15-21 loss=0.000203, validation loss=0.001427, train_mae=0.004744, val_mae=0.005879, params={'n_layers': 3, 'n_units': 363, 'activation': 'swish', 'optimizer': 'adam', 'lr': 0.0007691612374169739, 'batchsize': 1202}
2025-05-17_05-16-16 loss=0.003392, validation loss=0.004539, train_mae=0.019380, val_mae=0.020027, params={'n_layers': 9, 'n_units': 103, 'activation': 'gelu', 'optimizer': 'AdamW', 'lr': 0.0007003353300753235, 'batchsize': 557}
