61: loss=0.000144, validation loss=0.001449, train_mae=0.007345, val_mae=0.008998, params={'n_layers': 4, 'n_units': 208, 'activation': 'selu', 'lr': 0.00017990290954415677, 'optimizer': 'RAdam'}
62: loss=0.000233, validation loss=0.000721, train_mae=0.009458, val_mae=0.010644, params={'n_layers': 4, 'n_units': 119, 'activation': 'selu', 'lr': 0.00013856078561462902, 'optimizer': 'RAdam'}
63: loss=0.000352, validation loss=0.001410, train_mae=0.012348, val_mae=0.014121, params={'n_layers': 6, 'n_units': 116, 'activation': 'selu', 'lr': 0.000212634111797656, 'optimizer': 'RAdam'}
64: loss=0.001051, validation loss=0.001400, train_mae=0.018400, val_mae=0.019116, params={'n_layers': 4, 'n_units': 46, 'activation': 'selu', 'lr': 0.00012036899869266819, 'optimizer': 'RAdam'}
65: loss=0.000637, validation loss=0.001382, train_mae=0.015529, val_mae=0.016576, params={'n_layers': 5, 'n_units': 68, 'activation': 'selu', 'lr': 0.00016765583320819762, 'optimizer': 'adam'}
66: loss=0.000611, validation loss=0.001136, train_mae=0.014139, val_mae=0.015208, params={'n_layers': 4, 'n_units': 161, 'activation': 'selu', 'lr': 0.0002941089292714323, 'optimizer': 'RAdam'}
67: loss=0.052299, validation loss=0.055342, train_mae=0.136341, val_mae=0.137412, params={'n_layers': 4, 'n_units': 182, 'activation': 'selu', 'lr': 0.00014833645711341282, 'optimizer': 'sgd'}
68: loss=0.000218, validation loss=0.000750, train_mae=0.009638, val_mae=0.010761, params={'n_layers': 5, 'n_units': 112, 'activation': 'selu', 'lr': 0.0006478115781863799, 'optimizer': 'RAdam'}
69: loss=0.029678, validation loss=0.030810, train_mae=0.086045, val_mae=0.086339, params={'n_layers': 6, 'n_units': 117, 'activation': 'selu', 'lr': 0.00043295517139656383, 'optimizer': 'AdamW'}
70: loss=0.000287, validation loss=0.000902, train_mae=0.011079, val_mae=0.012142, params={'n_layers': 5, 'n_units': 68, 'activation': 'selu', 'lr': 0.0006712849895620107, 'optimizer': 'RAdam'}
71: loss=0.000326, validation loss=0.001127, train_mae=0.010469, val_mae=0.011738, params={'n_layers': 5, 'n_units': 133, 'activation': 'selu', 'lr': 0.0006401822771568396, 'optimizer': 'RAdam'}
72: loss=0.000486, validation loss=0.001587, train_mae=0.014574, val_mae=0.015951, params={'n_layers': 5, 'n_units': 57, 'activation': 'selu', 'lr': 0.0007003430448831946, 'optimizer': 'RAdam'}
73: loss=0.000619, validation loss=0.001418, train_mae=0.014491, val_mae=0.015352, params={'n_layers': 7, 'n_units': 100, 'activation': 'selu', 'lr': 0.0009204916535927486, 'optimizer': 'RAdam'}
74: loss=0.000580, validation loss=0.000913, train_mae=0.014047, val_mae=0.014866, params={'n_layers': 5, 'n_units': 78, 'activation': 'selu', 'lr': 0.00011616431010046626, 'optimizer': 'RAdam'}
75: loss=0.000727, validation loss=0.001144, train_mae=0.015832, val_mae=0.016714, params={'n_layers': 5, 'n_units': 31, 'activation': 'selu', 'lr': 0.0011955651589143509, 'optimizer': 'RAdam'}
76: loss=0.000268, validation loss=0.001673, train_mae=0.010292, val_mae=0.011909, params={'n_layers': 6, 'n_units': 87, 'activation': 'selu', 'lr': 0.0003806760630641037, 'optimizer': 'RAdam'}
77: loss=0.000315, validation loss=0.001154, train_mae=0.011695, val_mae=0.013181, params={'n_layers': 6, 'n_units': 76, 'activation': 'selu', 'lr': 0.0006576794785545056, 'optimizer': 'RAdam'}
78: loss=0.000271, validation loss=0.001103, train_mae=0.010325, val_mae=0.011553, params={'n_layers': 5, 'n_units': 101, 'activation': 'selu', 'lr': 0.00023171288020215427, 'optimizer': 'RAdam'}
79: loss=0.001906, validation loss=0.002500, train_mae=0.020939, val_mae=0.021563, params={'n_layers': 4, 'n_units': 148, 'activation': 'elu', 'lr': 0.00011187708443669798, 'optimizer': 'rmsprop'}
80: loss=0.000303, validation loss=0.001068, train_mae=0.011293, val_mae=0.012595, params={'n_layers': 5, 'n_units': 113, 'activation': 'selu', 'lr': 0.0007956350273452747, 'optimizer': 'adam'}
81: loss=0.000719, validation loss=0.001000, train_mae=0.014949, val_mae=0.015725, params={'n_layers': 4, 'n_units': 57, 'activation': 'selu', 'lr': 0.00013647229739469446, 'optimizer': 'RAdam'}
82: loss=0.001105, validation loss=0.001675, train_mae=0.019485, val_mae=0.020271, params={'n_layers': 5, 'n_units': 31, 'activation': 'selu', 'lr': 0.00018821933177005928, 'optimizer': 'RAdam'}
83: loss=0.000529, validation loss=0.001120, train_mae=0.012158, val_mae=0.012861, params={'n_layers': 4, 'n_units': 72, 'activation': 'tanh', 'lr': 0.0001130427475514404, 'optimizer': 'RAdam'}
84: loss=0.000535, validation loss=0.001085, train_mae=0.013463, val_mae=0.014537, params={'n_layers': 5, 'n_units': 172, 'activation': 'leaky_relu', 'lr': 0.002443317996242605, 'optimizer': 'RAdam'}
85: loss=0.000826, validation loss=0.001287, train_mae=0.017571, val_mae=0.018256, params={'n_layers': 7, 'n_units': 212, 'activation': 'sigmoid', 'lr': 0.00016751793798597893, 'optimizer': 'RAdam'}
86: loss=0.000231, validation loss=0.000937, train_mae=0.009899, val_mae=0.011018, params={'n_layers': 4, 'n_units': 190, 'activation': 'selu', 'lr': 0.0005647972279869186, 'optimizer': 'RAdam'}
87: loss=0.000589, validation loss=0.001174, train_mae=0.013097, val_mae=0.013991, params={'n_layers': 4, 'n_units': 130, 'activation': 'selu', 'lr': 0.000619137679625572, 'optimizer': 'RAdam'}
88: loss=0.014038, validation loss=0.015353, train_mae=0.067031, val_mae=0.068048, params={'n_layers': 4, 'n_units': 151, 'activation': 'selu', 'lr': 0.0008974637828226811, 'optimizer': 'sgd'}
89: loss=0.022982, validation loss=0.024874, train_mae=0.071251, val_mae=0.071929, params={'n_layers': 6, 'n_units': 198, 'activation': 'selu', 'lr': 0.0005595292868422718, 'optimizer': 'AdamW'}
90: loss=0.000505, validation loss=0.001756, train_mae=0.014426, val_mae=0.016218, params={'n_layers': 5, 'n_units': 180, 'activation': 'relu', 'lr': 0.0007349654114031064, 'optimizer': 'RAdam'}
91: loss=0.000466, validation loss=0.000843, train_mae=0.010522, val_mae=0.011424, params={'n_layers': 3, 'n_units': 164, 'activation': 'selu', 'lr': 0.00014014740428348803, 'optimizer': 'RAdam'}
92: loss=0.000184, validation loss=0.000971, train_mae=0.008586, val_mae=0.009865, params={'n_layers': 4, 'n_units': 163, 'activation': 'selu', 'lr': 0.00012177806542713799, 'optimizer': 'RAdam'}
93: loss=0.000586, validation loss=0.001234, train_mae=0.012793, val_mae=0.013634, params={'n_layers': 3, 'n_units': 140, 'activation': 'selu', 'lr': 0.00042029402202673047, 'optimizer': 'RAdam'}
94: loss=0.000456, validation loss=0.000731, train_mae=0.011497, val_mae=0.012294, params={'n_layers': 4, 'n_units': 82, 'activation': 'selu', 'lr': 0.00014294988752632553, 'optimizer': 'RAdam'}
95: loss=0.001881, validation loss=0.003396, train_mae=0.016841, val_mae=0.017489, params={'n_layers': 2, 'n_units': 108, 'activation': 'swish', 'lr': 0.00014800673360741058, 'optimizer': 'RAdam'}
96: loss=0.000804, validation loss=0.001077, train_mae=0.014448, val_mae=0.015170, params={'n_layers': 3, 'n_units': 84, 'activation': 'selu', 'lr': 0.00013611966512979643, 'optimizer': 'RAdam'}
97: loss=0.000554, validation loss=0.001122, train_mae=0.012949, val_mae=0.013679, params={'n_layers': 5, 'n_units': 60, 'activation': 'elu', 'lr': 0.00019668976637654407, 'optimizer': 'RAdam'}
98: loss=0.000877, validation loss=0.001330, train_mae=0.017075, val_mae=0.017928, params={'n_layers': 4, 'n_units': 46, 'activation': 'selu', 'lr': 0.0001648713228758663, 'optimizer': 'RAdam'}
99: loss=0.002047, validation loss=0.002640, train_mae=0.023250, val_mae=0.024066, params={'n_layers': 3, 'n_units': 121, 'activation': 'selu', 'lr': 0.003594839345873188, 'optimizer': 'rmsprop'}
