loss=0.000379, validation loss=0.000865, train_mae=0.008630, val_mae=0.009510, params={'n_layers': 2, 'n_units': 413, 'activation': 'selu', 'lr': 0.00015531072559693646, 'optimizer': 'RAdam'}
loss=0.000353, validation loss=0.000855, train_mae=0.009268, val_mae=0.010214, params={'n_layers': 2, 'n_units': 413, 'activation': 'selu', 'lr': 0.00016021374960584415, 'optimizer': 'RAdam'}
loss=0.010254, validation loss=0.011936, train_mae=0.050437, val_mae=0.051249, params={'n_layers': 1, 'n_units': 412, 'activation': 'selu', 'lr': 0.0001263135689634651, 'optimizer': 'RAdam'}
loss=0.142865, validation loss=0.152944, train_mae=0.237052, val_mae=0.239232, params={'n_layers': 2, 'n_units': 421, 'activation': 'selu', 'lr': 0.00010118783543449287, 'optimizer': 'AdamW'}
loss=0.000415, validation loss=0.000824, train_mae=0.009021, val_mae=0.009769, params={'n_layers': 2, 'n_units': 385, 'activation': 'selu', 'lr': 0.00015914540165670708, 'optimizer': 'RAdam'}
loss=0.009302, validation loss=0.011087, train_mae=0.049405, val_mae=0.050543, params={'n_layers': 1, 'n_units': 391, 'activation': 'selu', 'lr': 0.00014914890684177373, 'optimizer': 'RAdam'}
loss=0.000904, validation loss=0.001952, train_mae=0.010304, val_mae=0.011761, params={'n_layers': 2, 'n_units': 388, 'activation': 'leaky_relu', 'lr': 0.00016026432918951774, 'optimizer': 'RAdam'}
loss=0.000774, validation loss=0.001341, train_mae=0.008744, val_mae=0.009422, params={'n_layers': 2, 'n_units': 383, 'activation': 'gelu', 'lr': 0.0001782420319256888, 'optimizer': 'RAdam'}
loss=0.426374, validation loss=0.441842, train_mae=0.470072, val_mae=0.471373, params={'n_layers': 1, 'n_units': 380, 'activation': 'selu', 'lr': 0.0001973976653811533, 'optimizer': 'sgd'}
loss=0.000573, validation loss=0.001052, train_mae=0.009610, val_mae=0.010452, params={'n_layers': 2, 'n_units': 345, 'activation': 'selu', 'lr': 0.00011904883822024192, 'optimizer': 'RAdam'}
loss=0.000450, validation loss=0.000809, train_mae=0.008964, val_mae=0.009747, params={'n_layers': 2, 'n_units': 418, 'activation': 'selu', 'lr': 0.00013652993448051611, 'optimizer': 'RAdam'}
loss=0.000421, validation loss=0.000958, train_mae=0.009423, val_mae=0.010385, params={'n_layers': 2, 'n_units': 444, 'activation': 'selu', 'lr': 0.00014035222700113786, 'optimizer': 'RAdam'}
