loss=0.000470, validation loss=0.001203, train_mae=0.013726, val_mae=0.014674, params={'n_layers': 9, 'n_units': 63, 'activation': 'elu', 'lr': 0.00040278461254494705, 'optimizer': 'RAdam'}
loss=0.000731, validation loss=0.001568, train_mae=0.015364, val_mae=0.016352, params={'n_layers': 10, 'n_units': 92, 'activation': 'elu', 'lr': 0.0007412693598448983, 'optimizer': 'RAdam'}
loss=0.005573, validation loss=0.006531, train_mae=0.047068, val_mae=0.048125, params={'n_layers': 7, 'n_units': 16, 'activation': 'elu', 'lr': 0.00043795468225666864, 'optimizer': 'rmsprop'}
loss=0.000623, validation loss=0.001162, train_mae=0.013723, val_mae=0.014270, params={'n_layers': 4, 'n_units': 35, 'activation': 'gelu', 'lr': 0.0003266730193115617, 'optimizer': 'RAdam'}
loss=0.052301, validation loss=0.057388, train_mae=0.141846, val_mae=0.142945, params={'n_layers': 8, 'n_units': 83, 'activation': 'relu', 'lr': 0.0005210030512770833, 'optimizer': 'AdamW'}
loss=0.032186, validation loss=0.036374, train_mae=0.108410, val_mae=0.110171, params={'n_layers': 9, 'n_units': 51, 'activation': 'tanh', 'lr': 0.000669865382963933, 'optimizer': 'sgd'}
loss=0.000165, validation loss=0.001106, train_mae=0.008474, val_mae=0.010091, params={'n_layers': 6, 'n_units': 102, 'activation': 'selu', 'lr': 0.0003744240744467838, 'optimizer': 'RAdam'}
loss=0.000307, validation loss=0.001192, train_mae=0.010319, val_mae=0.011108, params={'n_layers': 5, 'n_units': 76, 'activation': 'swish', 'lr': 0.0008509715681408754, 'optimizer': 'RAdam'}
loss=0.000645, validation loss=0.001577, train_mae=0.015257, val_mae=0.016135, params={'n_layers': 5, 'n_units': 42, 'activation': 'elu', 'lr': 0.0010229053957157954, 'optimizer': 'RAdam'}
loss=0.000414, validation loss=0.001389, train_mae=0.011530, val_mae=0.012417, params={'n_layers': 5, 'n_units': 63, 'activation': 'sigmoid', 'lr': 0.0012717778187910271, 'optimizer': 'RAdam'}
loss=0.000573, validation loss=0.001169, train_mae=0.014234, val_mae=0.014902, params={'n_layers': 4, 'n_units': 29, 'activation': 'gelu', 'lr': 0.000738198368293485, 'optimizer': 'RAdam'}
loss=0.000300, validation loss=0.000828, train_mae=0.010765, val_mae=0.011553, params={'n_layers': 6, 'n_units': 73, 'activation': 'elu', 'lr': 0.0002475154021748114, 'optimizer': 'RAdam'}
loss=0.000642, validation loss=0.001064, train_mae=0.011366, val_mae=0.011992, params={'n_layers': 3, 'n_units': 66, 'activation': 'elu', 'lr': 0.00025428816765282996, 'optimizer': 'RAdam'}
loss=0.000492, validation loss=0.001521, train_mae=0.013999, val_mae=0.014826, params={'n_layers': 8, 'n_units': 112, 'activation': 'elu', 'lr': 0.0001273861811664777, 'optimizer': 'adam'}
loss=0.000520, validation loss=0.001339, train_mae=0.012351, val_mae=0.013296, params={'n_layers': 6, 'n_units': 258, 'activation': 'elu', 'lr': 0.00022448913598993632, 'optimizer': 'RAdam'}
loss=0.000910, validation loss=0.001327, train_mae=0.017129, val_mae=0.017603, params={'n_layers': 9, 'n_units': 25, 'activation': 'swish', 'lr': 0.0002971348004941889, 'optimizer': 'RAdam'}
