0: loss=0.090140, params={'n_layers': 5, 'n_units': 375, 'activation': 'swish', 'lr': 0.007023366705110221, 'optimizer': 'rmsprop'}
0: loss=0.003224, params={'n_layers': 1, 'n_units': 348, 'activation': 'elu', 'lr': 0.008595978127650243, 'optimizer': 'adam'}
1: loss=1.027616, params={'n_layers': 9, 'n_units': 191, 'activation': 'sigmoid', 'lr': 0.006664562885103201, 'optimizer': 'rmsprop'}
2635358
82: loss=0.000454, validation loss=0.000903, train_mae=0.010506, val_mae=0.011031, params={'n_layers': 3, 'n_units': 110, 'activation': 'sigmoid', 'lr': 0.001129920280437618, 'optimizer': 'adam'}
83: loss=0.001466, validation loss=0.001820, train_mae=0.017755, val_mae=0.018171, params={'n_layers': 3, 'n_units': 104, 'activation': 'sigmoid', 'lr': 0.0001510171230367392, 'optimizer': 'adam'}
84: loss=0.001035, validation loss=0.001440, train_mae=0.015997, val_mae=0.016443, params={'n_layers': 2, 'n_units': 62, 'activation': 'sigmoid', 'lr': 0.0008014778978577701, 'optimizer': 'adam'}
85: loss=0.001950, validation loss=0.003223, train_mae=0.021437, val_mae=0.022884, params={'n_layers': 3, 'n_units': 115, 'activation': 'relu', 'lr': 0.0009342898944275786, 'optimizer': 'rmsprop'}
86: loss=0.000709, validation loss=0.000921, train_mae=0.012818, val_mae=0.013340, params={'n_layers': 2, 'n_units': 49, 'activation': 'sigmoid', 'lr': 0.002241359252957377, 'optimizer': 'RAdam'}
87: loss=0.000464, validation loss=0.002047, train_mae=0.012504, val_mae=0.014211, params={'n_layers': 4, 'n_units': 295, 'activation': 'tanh', 'lr': 0.0011074571450112106, 'optimizer': 'adam'}
88: loss=0.036972, validation loss=0.038716, train_mae=0.120196, val_mae=0.120988, params={'n_layers': 10, 'n_units': 26, 'activation': 'elu', 'lr': 0.0018401881867099487, 'optimizer': 'AdamW'}
89: loss=0.000606, validation loss=0.001009, train_mae=0.011045, val_mae=0.011562, params={'n_layers': 3, 'n_units': 93, 'activation': 'sigmoid', 'lr': 0.0006385152179407935, 'optimizer': 'adam'}
90: loss=0.001285, validation loss=0.001750, train_mae=0.018218, val_mae=0.018860, params={'n_layers': 2, 'n_units': 132, 'activation': 'selu', 'lr': 0.0007876678333773572, 'optimizer': 'RAdam'}
91: loss=0.000484, validation loss=0.001018, train_mae=0.011028, val_mae=0.011712, params={'n_layers': 4, 'n_units': 165, 'activation': 'sigmoid', 'lr': 0.0011660974582352952, 'optimizer': 'adam'}
92: loss=0.000469, validation loss=0.000804, train_mae=0.009932, val_mae=0.010508, params={'n_layers': 3, 'n_units': 481, 'activation': 'sigmoid', 'lr': 0.0014297221970023667, 'optimizer': 'adam'}
93: loss=0.000433, validation loss=0.001216, train_mae=0.010486, val_mae=0.011429, params={'n_layers': 3, 'n_units': 457, 'activation': 'sigmoid', 'lr': 0.0014963690068412942, 'optimizer': 'adam'}
94: loss=0.000489, validation loss=0.000773, train_mae=0.010034, val_mae=0.010550, params={'n_layers': 3, 'n_units': 474, 'activation': 'sigmoid', 'lr': 0.0012932829811849406, 'optimizer': 'adam'}
95: loss=0.002525, validation loss=0.004085, train_mae=0.022945, val_mae=0.023708, params={'n_layers': 1, 'n_units': 494, 'activation': 'sigmoid', 'lr': 0.0013012849068681587, 'optimizer': 'adam'}
96: loss=0.000687, validation loss=0.001501, train_mae=0.013676, val_mae=0.014629, params={'n_layers': 3, 'n_units': 472, 'activation': 'sigmoid', 'lr': 0.004792433143470051, 'optimizer': 'adam'}
97: loss=0.000338, validation loss=0.001093, train_mae=0.008413, val_mae=0.009379, params={'n_layers': 2, 'n_units': 482, 'activation': 'sigmoid', 'lr': 0.0018297830452430575, 'optimizer': 'adam'}
98: loss=0.000296, validation loss=0.001033, train_mae=0.009960, val_mae=0.010879, params={'n_layers': 4, 'n_units': 466, 'activation': 'sigmoid', 'lr': 0.0009962398247892461, 'optimizer': 'adam'}
99: loss=0.000463, validation loss=0.000822, train_mae=0.009927, val_mae=0.010524, params={'n_layers': 3, 'n_units': 429, 'activation': 'sigmoid', 'lr': 0.0013788406461429437, 'optimizer': 'adam'}
